id,participantId,timeOfNotification,timeOfEngagement,timeOfContext,timeOfValence,timeOfArousal,valence,arousal,context
1,1,459163,464533,497941,481778,491757,NEUTRAL,LOW,VIEW_BOOTH
2,1,1116342,1123641,1147370,1137105,1142685,NEUTRAL,MEDIUM,CONVERSATION
3,1,1706566,0,0,0,0,NONE,NONE,NONE
4,1,2361806,2368669,0,2392199,2403246,NEGATIVE,MEDIUM,NONE
5,1,3075708,3082136,3115554,3105558,3109606,NEUTRAL,LOW,WALKING
6,1,3562201,3582250,3603151,3593212,3597877,NEUTRAL,LOW,VIEW_BOOTH
7,1,4283219,0,0,0,0,NONE,NONE,NONE
8,1,4804184,4811023,0,0,0,NONE,NONE,NONE
9,2,364259,373046,397051,380931,386833,NEUTRAL,MEDIUM,WALKING
10,2,970402,983704,1000405,992294,996226,NEUTRAL,MEDIUM,CONVERSATION
11,2,1610269,1626103,1644209,1634845,1639029,NEUTRAL,MEDIUM,WALKING
12,2,2287569,0,0,0,0,NONE,NONE,NONE
13,2,2881009,0,0,0,0,NONE,NONE,NONE
14,2,3489786,0,0,0,0,NONE,NONE,NONE
15,3,418630,438014,474684,463238,467987,NEGATIVE,LOW,CONVERSATION
16,3,1011885,1031630,1048935,1039714,1043750,NEGATIVE,LOW,CONVERSATION
17,3,1764167,1768115,1794167,1777001,1790185,NEUTRAL,HIGH,CONVERSATION
18,3,2318231,0,0,0,0,NONE,NONE,NONE
19,3,3013906,0,0,0,0,NONE,NONE,NONE
20,3,3518972,3522724,3555492,3541222,3551571,NEUTRAL,HIGH,CONVERSATION
21,3,4431376,0,0,0,0,NONE,NONE,NONE
22,3,4852881,4929930,4974627,4963038,4970708,NEGATIVE,HIGH,CONVERSATION
23,3,5685790,5689597,5717615,5708431,5713871,NEGATIVE,HIGH,CONVERSATION
24,3,6169580,6191219,6207613,6200060,6203908,NEUTRAL,LOW,CONVERSATION
25,3,6905192,0,0,0,0,NONE,NONE,NONE
26,3,7485712,7503454,7530876,7517871,7527148,NEGATIVE,LOW,CONVERSATION
