timestamp,x,y,z
459193,1570,237,3878
459233,1574,106,3892
459273,1595,-138,3850
459313,1525,26,4007
459353,1544,77,3891
459393,1501,-87,3927
459433,1519,-87,3943
459473,1496,29,3863
459513,1585,-375,3897
459553,1618,-246,3832
459593,1625,-231,3827
459633,1640,-602,3895
459673,1537,-512,3929
459713,1583,-500,3856
459753,1532,-511,3867
459793,1609,-684,3846
459833,1543,-484,3807
459873,1546,-675,3774
459913,1513,-714,3832
459953,1515,-683,3891
459993,853,-1509,4978
460033,1592,-832,3789
460073,1427,-740,3812
460113,1485,-770,3769
460153,1519,-769,3760
460193,1517,-776,3764
460233,1511,-785,3768
460273,1496,-791,3771
460313,1486,-793,3772
460353,1295,-1368,4006
460393,1338,-907,3811
460433,1329,-928,3801
460473,1248,-1081,3952
460513,1184,-757,3986
460553,1129,-545,4070
460593,1117,-596,4097
460633,1024,-370,4135
460673,1125,-580,4080
460713,1083,-274,4012
460753,1069,-62,3989
460793,1071,170,3997
460833,1022,207,4032
460873,1002,318,4040
460913,1056,219,3966
460953,1014,434,4066
460993,949,604,4012
461033,981,574,3914
461073,949,745,4043
461113,934,751,3950
461153,944,728,3970
461193,893,773,3915
461233,908,695,4001
461273,916,810,3997
461313,880,752,3976
461353,967,688,4014
461393,957,726,4075
461433,882,782,3942
461473,963,701,4060
461513,928,709,3987
461553,940,714,3937
461593,902,772,3958
461633,931,700,3984
461673,916,730,3980
461713,935,716,4032
461753,917,707,4014
461793,884,793,3986
461833,933,684,4001
461873,900,763,3984
461913,933,726,4047
461953,912,706,3996
461993,911,673,3997
462033,913,689,3994
462073,900,706,3942
462113,910,660,4028
462153,893,669,4015
462193,881,664,4034
462233,913,749,3995
462273,940,500,3791
462313,895,559,4041
462353,831,698,4101
462393,900,581,4018
462430,776,634,4052
462470,843,502,3991
462510,779,691,3993
462550,808,545,4268
462591,727,655,4084
462630,787,557,4093
462670,734,608,4078
462711,740,616,4044
462750,633,624,4091
